"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","2016","3724"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","SC (PwD)","NA","68","68"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","1677","2765"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","8744","15294"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","1117","1117"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","3867","4514"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL (PwD)","NA","548","548"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","346","2121"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","104","146"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","11906","20427"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","4904","6077"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","1576","2742"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","469","1341"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","2099","4539"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","292","292"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","824","1827"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","194","886"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","145","430"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","3405","5931"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","83","83"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","1143","2007"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL (PwD)","NA","42","42"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","798","1041"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","340","460"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","4963","9416"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","1961","2855"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL (PwD)","NA","235","235"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","1159","1612"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","247","302"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","9706","13227"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","191","191"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","2807","4702"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","963","2452"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","553","1615"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","5058","8167"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","256","256"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","2163","3960"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","885","2264"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","414","779"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","6287","9237"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","2249","3662"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL (PwD)","NA","327","327"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","1295","2575"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","882","1723"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","5182","10643"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","2639","3733"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL (PwD)","NA","782","782"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","853","1715"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","169","182"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","9144","13321"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","200","200"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","3413","4462"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","1194","2490"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","1230","1627"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","18311","28810"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","1468","1468"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","6745","8649"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","3109","5243"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","1489","1902"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","20652","29271"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","960","960"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","7516","10078"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","3889","5324"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","2654","3502"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","HS","OPEN","NA","578","3105"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","HS","OPEN (PwD)","NA","89","89"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","HS","OBC-NCL","NA","802","1842"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","HS","SC","NA","412","603"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","HS","ST","NA","74","414"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","OS","OPEN","NA","1266","1928"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","OS","OPEN (PwD)","NA","118","118"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","OS","OBC-NCL","NA","730","1060"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","OS","SC","NA","130","511"
"Maulana Azad National Institute of Technology Bhopal","Architecture  (5 Years, Bachelor of Architecture)","OS","ST","NA","166","236"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","NA","18129","24862"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN (PwD)","NA","2398","2398"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","NA","7680","10021"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL (PwD)","NA","1008","1008"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","SC","NA","2960","6177"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","ST","NA","4261","5041"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","NA","18011","22349"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN (PwD)","NA","438","438"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL","NA","5646","7377"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OBC-NCL (PwD)","NA","328","328"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","SC","NA","3774","4230"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","ST","NA","1980","2046"
